station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,altim_in_hg,elevation_m
KDEH,2021-12-03T02:35:00Z,43.27,-91.73,6,1,0,0,29.991142,348
KD95,2021-12-03T02:35:00Z,43.07,-83.27,1.7,-2.3,310,6,29.949802,253
KD60,2021-12-03T02:35:00Z,48.38,-102.9,-3,-3,90,4,29.870079,682
KD57,2021-12-03T02:35:00Z,46.82,-101.87,5,0,270,5,29.828741,636
KD55,2021-12-03T02:35:00Z,48.75,-98.4,-3,-3,130,9,29.929134,488
KD50,2021-12-03T02:35:00Z,48.93,-103.3,-2,-2,150,6,29.861221,591
KD39,2021-12-03T02:35:00Z,45.7,-94.93,0.8,-0.5,0,0,29.970472,378
KD25,2021-12-03T02:35:00Z,46.12,-89.88,-1.2,-2.8,0,0,29.949802,490
KCXE,2021-12-03T02:35:00Z,36.78,-78.5,16.1,4.8,230,4,29.84941,154
KCVX,2021-12-03T02:35:00Z,45.3,-85.27,1,-4.6,340,10,29.97933,196
KCVH,2021-12-03T02:35:00Z,36.9,-121.42,11,9,210,5,30.079725,68
KCSQ,2021-12-03T02:35:00Z,41.02,-94.37,7,1,90,11,29.940945,394
KCQW,2021-12-03T02:35:00Z,34.72,-79.95,13,6,220,5,29.958662,67
KCPT,2021-12-03T02:35:00Z,32.35,-97.43,17,15,160,6,30.070866,260
KCPK,2021-12-03T02:35:00Z,36.67,-76.32,15.3,5,220,7,29.840551,4
KCPF,2021-12-03T02:35:00Z,37.38,-83.27,16,3,240,6,30.02067,382
KCPC,2021-12-03T02:35:00Z,34.28,-78.72,13,7.6,220,3,30.008858,27
KCOQ,2021-12-03T02:35:00Z,46.7,-92.5,-1,-6,0,0,29.970472,390
KCNC,2021-12-03T02:35:00Z,41.02,-93.37,7,0,130,6,29.970472,319
KCNB,2021-12-03T02:35:00Z,44.73,-96.27,4.8,2.2,170,9,29.920275,363
KCMR,2021-12-03T02:35:00Z,35.3,-112.2,3,-3,160,7,30.268702,2039
KCLW,2021-12-03T02:35:00Z,27.98,-82.75,13,12,0,0,30.159449,21
KCLS,2021-12-03T02:35:00Z,46.68,-122.98,3,3,0,0,30.351377,52
KCLK,2021-12-03T02:35:00Z,35.53,-98.93,12,1,170,7,30.008858,489
KCLI,2021-12-03T02:35:00Z,44.62,-88.73,0,-3,0,0,30.02067,248
KCKZ,2021-12-03T02:35:00Z,40.38,-75.28,13,5,290,13,29.648623,160
KCKP,2021-12-03T02:35:00Z,42.73,-95.55,5.1,-1.9,120,5,29.929134,369
